unix,open,high,low,close,volume,market cap,unix_seconds
1438876800000,0.009915124,0.009998321,0.002741456,0.002741415,1148.056275,379916.4857,1438876800
1438963200000,0.002886336,0.003295132,0.002415617,0.002752004,2654.469903,157648.618,1438963200
1439049600000,0.002647839,0.002733208,0.002424051,0.002676597,1728.333615,157929.7525,1439049600
1439136000000,0.002678746,0.004185942,0.00251136,0.003913122,2410.968394,179447.5719,1439136000
1439222400000,0.003949391,0.004765677,0.003328479,0.004646641,7355.704889,249286.3486,1439222400
1439308800000,0.004570382,0.007377053,0.004458931,0.006925539,9556.613357,328106.0191,1439308800
1439395200000,0.006920895,0.008456701,0.00671089,0.006894059,18494.81705,451161.8853,1439395200
1439481600000,0.006879968,0.007039641,0.006012262,0.00647217,14618.76462,387471.9533,1439481600
1439568000000,0.006457249,0.006459534,0.004239829,0.005851443,11097.36971,320277.6127,1439568000
1439654400000,0.006057979,0.006069711,0.004610119,0.00465484,9756.565274,328574.7281,1439654400
1439740800000,0.004665589,0.005159675,0.00513741,0.00513741,6924.286602,346029.8117,1439740800
1439827200000,0.005149968,0.005551559,0.005149968,0.00551852,7669.186139,419067.0011,1439827200
1439913600000,0.005553369,0.006459672,0.005506917,0.006224964,7774.616023,418163.4837,1439913600
1440000000000,0.006224432,0.00658295,0.00583798,0.006096392,10936.80976,467061.4042,1440000000
1440086400000,0.005999467,0.006283746,0.006073892,0.006043153,7113.824625,447797.4944,1440086400
1440172800000,0.005986501,0.006057884,0.005753037,0.005938183,6727.855451,425876.2211,1440172800
1440259200000,0.005928018,0.005972678,0.005864343,0.005837961,4683.401663,426850.5097,1440259200
1440345600000,0.005849403,0.005486985,0.005655494,0.005151573,4769.240158,403346.6781,1440345600
1440432000000,0.005145053,0.005201421,0.004822029,0.005171178,5867.201497,365524.5702,1440432000
1440518400000,0.005136496,0.005199503,0.00508436,0.005106899,3412.421979,376095.6873,1440518400
1440604800000,0.005106131,0.005134747,0.005071834,0.00513632,3403.889147,373132.6018,1440604800
