unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1629936000000.0,2021-08-26 00:00:00,ETH/USD,3228.2,3236.0,3209.3,3214.3,1711.9077588899606,5502585.1094
1629849600000.0,2021-08-25 00:00:00,ETH/USD,3170.9,3249.1,3077.4,3228.2,124555.74680561923,402090861.8379
1629763200000.0,2021-08-24 00:00:00,ETH/USD,3322.5,3360.7,3148.2,3170.9,116090.45476464095,368111223.0132
1629676800000.0,2021-08-23 00:00:00,ETH/USD,3241.7,3400.0,3234.0,3322.5,135368.40627497365,449761529.8486
1629590400000.0,2021-08-22 00:00:00,ETH/USD,3226.3,3276.2,3127.1,3241.7,76247.41084292192,247171231.7295
1629504000000.0,2021-08-21 00:00:00,ETH/USD,3286.9,3311.9,3208.1,3226.4,75978.37710014258,245136635.8759
1629417600000.0,2021-08-20 00:00:00,ETH/USD,3185.5,3303.1,3179.1,3286.9,94929.27852651435,312023045.5888
1629331200000.0,2021-08-19 00:00:00,ETH/USD,3014.8,3200.0,2959.4,3185.5,117451.05471323182,374140334.789
1629244800000.0,2021-08-18 00:00:00,ETH/USD,3011.5,3127.4,2950.0,3014.9,129932.98858612224,391734967.2883
1629158400000.0,2021-08-17 00:00:00,ETH/USD,3147.2,3292.6,2989.0,3011.5,183605.93732389176,552929280.2509
1629072000000.0,2021-08-16 00:00:00,ETH/USD,3312.4,3341.3,3134.3,3147.2,124807.12943203482,392792997.7485
1628985600000.0,2021-08-15 00:00:00,ETH/USD,3266.1,3327.4,3112.1,3312.4,109870.88675999275,363936325.3038
1628899200000.0,2021-08-14 00:00:00,ETH/USD,3325.0,3334.8,3208.1,3266.1,74768.86083775757,244202576.3822
1628812800000.0,2021-08-13 00:00:00,ETH/USD,3046.9,3330.7,3035.3,3325.0,113425.31593467669,377139175.4828
1628726400000.0,2021-08-12 00:00:00,ETH/USD,3161.9,3240.5,2982.3,3046.9,132233.36961971183,402901853.8943
1628640000000.0,2021-08-11 00:00:00,ETH/USD,3142.6,3276.5,3120.2,3161.9,125084.2484679781,395503885.2309
1628553600000.0,2021-08-10 00:00:00,ETH/USD,3162.1,3236.0,3052.7,3142.6,128214.03546849743,402925427.8633
