Open,High,Low,Close,Volume,Market Cap
2084.36,2103.96,2060.51,2074.94,34631471594,2.40112E+11
1979.183625,2086.56,1971.121526,2083.36,49430987097,2.34821E+11
2119.238111,2127.933895,1956.410445,1985.808114,44849034140,2.35477E+11
2113.793195,2150.908303,2062.799478,2122.406133,44254943019,2.44681E+11
2080.873381,2128.97,2017.314536,2108.653789,37656941013,2.39343E+11
2019.717756,2092.333645,1999.997445,2082.75,44968079087,2.36887E+11
2136.571388,2137.194336,2022.747978,2022.747978,47145055916,2.41304E+11
1970.627728,2141.796556,1953.439526,2133.90001,45813296619,2.33741E+11
1919.030585,1982.06,1908.861249,1971.372782,44889449905,2.23706E+11
1843.244348,1944.575038,1793.19,1915.294767,33375887879,2.1338E+11
1818.243962,1858.788283,1791.669671,1843.018903,32649726728,2.10679E+11
1687.249032,1835.34,1680.57,1821.258443,26220359472,2.02574E+11
1714.009006,1724.97,1668.39,1689.59,23353438463,1.96143E+11
1700.06337,1731.570704,1671.116848,1717.067682,26404756086,1.95746E+11
1588.606123,1700.770609,1588.606123,1700.770609,32814613566,1.88998E+11
1585.767306,1621.683185,1554.974117,1588.85293,51539371566,1.83564E+11
1672.882507,1736.28,1565.368785,1588.349569,30382285902,1.93741E+11
1685.152479,1721.22,1657.267539,1676.195722,34476629424,1.95025E+11
1786.159321,1803.84,1663.573274,1685.692431,27839283764,2.03531E+11
1806.24,1816.64,1756.69,1785.710084,33122376468,2.058E+11
1813.041781,1868.5,1809.149649,1811.77,28905329290,2.11454E+11
1777.075394,1839.95,1740.298108,1809.971829,45068684295,2.07805E+11
1825.821768,1848.06678,1764.037943,1777.959901,50989302242,2.08374E+11
1806.002221,1836.684375,1749.349288,1819.454703,31674453805,2.0563E+11
1792.339957,1817.643372,1719.055047,1797.156958,39430216686,2.05056E+11
1854.713706,1890.218498,1751.46885,1789.715533,40030011278,2.08249E+11
1923.580506,1931.390587,1844.114079,1865.143313,42846097821,2.16869E+11
1769.016821,1939.090847,1734.17455,1925.332967,46288353882,2.11671E+11
1826.493118,1841.045175,1730.017045,1768.988477,45495982299,2.05008E+11
1797.769485,1843.751869,1734.714276,1824.804385,48700475346,2.06181E+11
1869.621122,1874.680051,1763.088558,1801.122723,47168717436,2.09727E+11
1832.407908,1865.817802,1807.43565,1865.817802,53363960469,2.10611E+11
1725.498816,1833.54446,1673.954919,1833.236059,47681903950,1.99561E+11
1651.973829,1729.839444,1637.636948,1729.839444,46505016366,1.91492E+11
1533.624305,1667.152346,1517.647905,1657.837505,44369988463,1.81244E+11
1540.987086,1547.512082,1453.298541,1533.479449,49050114937,1.7191E+11
1575.147055,1624.150963,1516.005584,1540.806485,46922872407,1.79527E+11
1490.892997,1651.539154,1483.069383,1580.236854,45575401259,1.81555E+11
1570.315949,1600.848439,1460.199274,1490.240623,44690190941,1.7705E+11
1419.50945,1568.604468,1417.707266,1568.604468,50350338859,1.7183E+11
1460.696985,1468.470739,1304.694594,1415.204588,44125895718,1.58733E+11
1443.160928,1526.506431,1434.969856,1465.575895,47595898109,1.70749E+11
1489.154577,1560.220132,1419.681428,1440.986687,59540366533,1.70684E+11
1629.681024,1668.136381,1489.263838,1496.222285,53748315677,1.85285E+11
1576.051781,1713.757485,1515.28048,1624.800425,82119677003,1.87975E+11
1776.284613,1777.488304,1409.685341,1560.590131,93043539824,1.80793E+11
1928.239735,1928.239735,1591.115788,1777.266855,63114500948,2.07694E+11
1913.794017,1966.347079,1892.402848,1928.444381,61283948088,2.22416E+11
1948.059237,2024.822618,1853.611542,1915.886606,58705087547,2.27347E+11
1926.540954,1959.259592,1886.000242,1950.338214,50698098934,2.20911E+11
1845.136405,1937.155854,1845.136405,1924.322707,53999855957,2.18122E+11
1780.904843,1850.611814,1740.604679,1841.841588,49391979613,2.06706E+11
1781.515509,1824.742605,1732.203301,1783.388753,51392448545,2.04516E+11
1803.17519,1832.028208,1692.343858,1778.190188,53889692952,2.0413E+11
1812.441953,1846.790159,1790.009773,1804.822143,47153885175,2.0886E+11
1839.296663,1865.725077,1773.587536,1810.679595,55058152711,2.08675E+11
1786.450941,1857.992871,1747.625572,1840.848917,52066984581,2.0564E+11
1742.351661,1808.740447,1713.388102,1779.925305,54693213689,2.02077E+11
1769.266944,1825.557258,1689.299182,1742.19388,62851334886,2.02303E+11
1754.043716,1807.041935,1714.450003,1767.664449,70192533802,2.00693E+11
1615.010367,1769.672984,1571.898909,1747.959634,61821267147,1.90854E+11
1678.68238,1690.569364,1500.10955,1613.342018,54472202357,1.84284E+11
1722.120197,1740.314805,1653.012383,1675.289348,62409578101,1.93803E+11
1596.839657,1758.480608,1596.839657,1715.445469,64957851200,1.91558E+11
1664.337903,1692.529021,1564.966966,1593.079725,69234192111,1.8834E+11
1514.304823,1662.07452,1513.794089,1662.07452,72681831090,1.80132E+11
1371.951573,1546.106455,1366.850387,1516.837913,56250945163,1.64906E+11
1313.638975,1373.843459,1277.668886,1373.843459,42264270582,1.51548E+11
1375.221179,1377.73449,1289.264632,1315.587631,37349232211,1.53177E+11
1381.158689,1400.192611,1331.080318,1379.867068,61266389537,1.55706E+11
1334.917809,1429.036567,1295.991936,1387.439978,66558092995,1.55904E+11
1252.531547,1357.175689,1224.034932,1331.961425,60091691953,1.49949E+11
1362.995783,1366.099612,1215.430042,1250.249615,61210536935,1.46739E+11
1322.313128,1371.622974,1251.734446,1356.036023,64819621703,1.51704E+11
1392.181697,1463.065645,1311.942581,1322.609996,65227836094,1.60632E+11
1234.232438,1397.406839,1228.046951,1397.406839,45300423692,1.50907E+11
1236.376384,1271.518277,1203.253255,1231.985489,46981137924,1.4216E+11
1120.961436,1272.354831,1047.741913,1237.203403,78630119586,1.36582E+11
1377.877321,1378.407099,1098.657773,1128.559276,70734494738,1.43334E+11
1375.560773,1403.27894,1243.607284,1385.325719,76141583200,1.52605E+11
1259.336209,1427.175262,1255.551822,1386.980812,60479280676,1.56467E+11
1234.467843,1260.238661,1187.844748,1260.238661,43122868894,1.40298E+11
1229.650906,1268.291605,1174.887617,1234.467925,51283343265,1.40011E+11
1171.890015,1285.778493,1155.918232,1235.766738,55657526833,1.38952E+11
1220.514139,1251.778369,1088.658363,1166.958015,54737261214,1.36634E+11
1132.29514,1244.069801,1094.99782,1220.241033,45944451365,1.33757E+11
1049.927062,1134.814214,993.5909972,1130.065834,52027694719,1.22029E+11
1091.806095,1147.680907,1020.566617,1044.332167,79469006351,1.24097E+11
1261.123629,1261.123629,926.6062208,1091.40173,82360308518,1.22548E+11
1281.157189,1347.314269,1186.689738,1263.993464,57825073378,1.48884E+11
1218.928227,1302.811666,1178.471553,1284.753113,56769902511,1.39875E+11
1226.194419,1271.782203,1084.56772,1219.754176,74834975973,1.37209E+11
1210.802895,1285.913678,1165.888175,1226.270761,69636874878,1.39282E+11
1100.7636,1208.067837,1063.59639,1207.112289,66136904550,1.29834E+11
1043.053,1126.86334,988.1660141,1102.305802,87973351491,1.20628E+11
976.8018067,1152.226308,916.7550327,1040.789197,99914889204,1.15565E+11
771.2192592,1008.359353,771.1352998,982.0824628,42437519218,97932978278
731.4353876,786.2919871,718.0630891,771.8063807,22035309315,85527530456
743.1346597,754.2976121,722.4194573,730.8685342,23706827592,84369986354
753.3041569,756.931006,730.7619524,744.0374393,32085916100,84951925021
731.3179892,754.8032579,720.620071,753.7521039,27809473841,83882375417
729.785169,737.5895564,692.8404941,732.9438323,33560625432,82058302031
682.1297405,746.7119749,682.1297405,731.9853744,43965957948,82572772374
635.6360734,707.7271198,629.9723522,683.8815088,29408105949,75386130383
625.5565826,649.7582555,616.0663159,635.630449,19986054741,71874072129
611.3821136,631.60813,605.4029199,625.3991196,19584229908,70257009801
585.2504353,613.2304467,570.198415,612.1069739,25875008468,66920036302
637.20516,637.5997447,562.193357,587.2436861,22016623614,69727710854
609.1216889,635.2799925,591.0213218,635.2799925,21143128008,70012589620
638.545755,647.0129744,600.7412837,611.3959516,21788103341,71141544272
659.7176541,659.7176541,626.9368692,639.9365818,19625176203,73932221969
655.1271992,668.9610873,647.2814217,659.9573483,20605945920,74785644445
643.4445138,662.8900646,633.5635593,654.5293223,32211180193,73626723357
637.5671525,675.0865585,630.3269919,644.5322716,32464770189,74173427174
589.1562071,636.7717497,581.9088443,636.7717497,14853794060,68666279764
586.3125926,596.1816209,580.9781916,589.1747101,12501104463,66871715262
590.5132043,591.0632814,576.975374,585.8309267,13285092245,66560148571
568.0407428,594.4078657,564.4996743,590.3981597,12883086838,66128516593
544.7999382,573.0518541,544.7999382,568.0717246,13077358658,63603071003
558.8304765,558.8304765,536.789333,545.3851771,16090933181,62156477074
573.7484601,574.4876926,549.5014517,560.295982,16786263795,63991075371
556.8551218,577.4222059,532.874094,573.9958166,20405094324,63697896538
591.9325573,594.4239448,554.4998591,556.1577577,13094354178,65996956608
602.2136416,602.8584483,586.0944186,592.5922253,12541614833,67581252696
596.9389115,606.7855053,584.894524,601.6972684,13355002634,67785938031
568.8239749,596.0475967,563.4912121,595.5485062,18657983308,66795290398
616.5518244,618.8360525,569.7238308,571.9783332,18578754855,67897663570
598.5373143,621.2695324,588.6498325,616.9048532,18849754263,68867173619
586.9709642,602.8202066,578.5080537,598.3572535,29296849358,67424332064
616.1835339,634.7546773,573.5166774,589.8144674,27801311744,68561448547
575.4580491,615.5645111,573.102358,615.5645111,20300381108,67471025962
538.2870297,574.9307575,532.4796171,573.8023844,15787770057,62527302126
518.5477694,547.7080502,508.1837994,538.3213695,15138980071,59693807462
519.9015919,530.585004,496.6038242,516.5115898,25719042781,58430782421
570.4761367,575.9553175,486.3205547,518.2350995,31155087716,59254123143
604.6109423,605.8246831,557.8935567,572.3198091,25917481065,67239991438
608.9908346,621.7680919,593.0582913,603.4184074,34719065009,69054347752
560.3148361,609.0579223,552.4527618,608.3606194,33207042698,66663990292
550.7117866,578.7502594,515.2344761,561.9821232,27406674038,62200418544
510.4844896,551.38946,504.7396673,551.38946,21431198111,59431059105
471.6522892,513.7849071,471.6522892,509.8795611,17153498153,56536329647
478.8748491,480.4385162,466.2964181,471.6258889,18476367260,53863371588
482.4274556,494.8795282,465.9943651,479.7564287,20614086057,54283181256
461.0299944,484.369166,461.0299944,483.0252202,13666803243,53417731913
448.6987112,465.2015622,446.3775027,461.6021804,11740238768,51738393720
461.373748,463.1121815,441.3123654,449.0158391,11047060427,51673927487
476.5310362,476.5310362,453.9109225,462.4997491,13920288684,52613383585
462.7710889,477.1818678,458.4459358,476.4519769,14349713424,52975260765
463.7840906,468.9478819,453.2236811,462.3713098,15104558481,52222107493
451.0376451,474.9801978,450.3536358,464.0171975,15303700857,52556764778
444.3779218,454.4822024,439.6694024,450.3675942,14818758592,50816313089
454.7862661,458.7070679,435.6628461,445.2586159,14727778061,50908996547
435.8867454,459.7474877,433.9538583,455.1338985,18027015604,50522834361
455.8216504,467.7070825,428.3096141,436.0843601,20441258184,51355260975
