,long_term_period,bb_period,multiple,atr_period,win_rate,equity,risk/reward
108,50.0,6.0,1.4000000000000004,4.0,0.6567164179104478,1.7493118897302071,1.6038656852195055
109,50.0,6.0,1.4000000000000004,6.0,0.6323529411764706,1.7401037559826904,1.6775877832783166
110,50.0,6.0,1.4000000000000004,8.0,0.6567164179104478,1.7445920913614832,1.5367298708588577
111,50.0,6.0,1.4000000000000004,10.0,0.6470588235294118,1.7082683111473513,1.5117291514963904
112,50.0,6.0,1.4000000000000004,12.0,0.6567164179104478,1.727232620819684,1.5020043622334867
123,50.0,6.0,1.5000000000000004,16.0,0.6346153846153846,1.5093132885360268,1.6432700555462352
124,50.0,6.0,1.5000000000000004,18.0,0.6346153846153846,1.5015029626465528,1.6591203214270875
126,50.0,6.0,1.6000000000000005,4.0,0.625,1.5441609441697919,2.0945310383878386
127,50.0,6.0,1.6000000000000005,6.0,0.5853658536585366,1.5312505948154833,2.3137201836937957
128,50.0,6.0,1.6000000000000005,8.0,0.6097560975609756,1.5214488759625022,2.1333664718614833
129,50.0,6.0,1.6000000000000005,10.0,0.6097560975609756,1.5100111261280214,2.1052787556633183
130,50.0,6.0,1.6000000000000005,12.0,0.6097560975609756,1.5068403891300186,2.0805095394179225
131,50.0,6.0,1.6000000000000005,14.0,0.6341463414634146,1.5499198834962469,2.043746377547051
132,50.0,6.0,1.6000000000000005,16.0,0.6341463414634146,1.5385314922583009,2.0363759545822906
133,50.0,6.0,1.6000000000000005,18.0,0.6341463414634146,1.534116866532591,2.0381410256725894
134,50.0,6.0,1.6000000000000005,20.0,0.6341463414634146,1.5299504101932755,2.0460592891857825
180,50.0,7.0,1.3000000000000003,4.0,0.6515151515151515,1.7484909088551666,1.5327519543986687
181,50.0,7.0,1.3000000000000003,6.0,0.6268656716417911,1.7374880774145673,1.6044489503793984
182,50.0,7.0,1.3000000000000003,8.0,0.6615384615384615,1.7701736513147628,1.5050298697353444
189,50.0,7.0,1.4000000000000004,4.0,0.6181818181818182,1.591680774637644,1.7526268086422885
190,50.0,7.0,1.4000000000000004,6.0,0.5892857142857143,1.5845680657794323,1.8744458012665954
191,50.0,7.0,1.4000000000000004,8.0,0.6181818181818182,1.5884136654962095,1.7562026308473837
192,50.0,7.0,1.4000000000000004,10.0,0.6071428571428571,1.555709623783675,1.7257024372418428
193,50.0,7.0,1.4000000000000004,12.0,0.6181818181818182,1.5739848014233726,1.7205326971954427
194,50.0,7.0,1.4000000000000004,14.0,0.6111111111111112,1.540997967651535,1.6941717600332447
195,50.0,7.0,1.4000000000000004,16.0,0.6111111111111112,1.532054425699797,1.671148151935691
196,50.0,7.0,1.4000000000000004,18.0,0.6111111111111112,1.5240231056390443,1.6907811796970083
197,50.0,7.0,1.4000000000000004,20.0,0.6111111111111112,1.5216187709881124,1.696644987266792
261,50.0,8.0,1.2000000000000002,4.0,0.5909090909090909,1.6899763563226355,1.6194152161694515
262,50.0,8.0,1.2000000000000002,6.0,0.5909090909090909,1.7556400804000176,1.6768902193584165
263,50.0,8.0,1.2000000000000002,8.0,0.5909090909090909,1.7355871893580217,1.6794792242881813
264,50.0,8.0,1.2000000000000002,10.0,0.5909090909090909,1.646729273767407,1.6025620151317697
265,50.0,8.0,1.2000000000000002,12.0,0.6,1.7007341628758417,1.5917658440361475
266,50.0,8.0,1.2000000000000002,14.0,0.6190476190476191,1.7243694664491138,1.5444659886224497
267,50.0,8.0,1.2000000000000002,16.0,0.6190476190476191,1.722499705803516,1.5563223521352776
268,50.0,8.0,1.2000000000000002,18.0,0.6190476190476191,1.7180498768813566,1.5485481465001647
269,50.0,8.0,1.2000000000000002,20.0,0.6349206349206349,1.7652861386011922,1.521293360503881
270,50.0,8.0,1.3000000000000003,4.0,0.576271186440678,1.637846061401387,1.7733885536377407
271,50.0,8.0,1.3000000000000003,6.0,0.576271186440678,1.684170916523433,1.835432354926574
272,50.0,8.0,1.3000000000000003,8.0,0.576271186440678,1.6665849844265297,1.8271197298885022
273,50.0,8.0,1.3000000000000003,10.0,0.5862068965517241,1.6338045046851601,1.7412979071073684
274,50.0,8.0,1.3000000000000003,12.0,0.5862068965517241,1.6336415790109118,1.7226376529650762
