,date,open,high,low,close,volume,market cap,unix
0,Aug-04-2013,0.00587478,0.00597984,0.00561266,0.00561266,0.0,45292452.76736111,1375545600000
1,Aug-05-2013,0.00563676,0.00566102,0.00462861,0.00468042,0.0,39754954.472222224,1375632000000
2,Aug-06-2013,0.00466923,0.00468202,0.00433261,0.00441732,0.0,34866797.715277776,1375718400000
3,Aug-07-2013,0.00439665,0.00442403,0.00417529,0.00425417,0.0,33572880.65505227,1375804800000
4,Aug-08-2013,0.00425725,0.00436668,0.00425268,0.00429112,0.0,33558984.13240418,1375891200000
5,Aug-09-2013,0.00429112,0.0043665,0.00427858,0.00431382,0.0,33773195.26388889,1375977600000
6,Aug-10-2013,0.00431382,0.00442061,0.00430027,0.00441532,0.0,34044678.87108014,1376064000000
7,Aug-11-2013,0.00441437,0.00452018,0.00435898,0.00444854,0.0,34425827.92307692,1376150400000
8,Aug-12-2013,0.00446332,0.00446332,0.00417131,0.00424543,0.0,33546709.52430556,1376236800000
9,Aug-13-2013,0.00426705,0.00426705,0.00378539,0.00378842,0.0,30622258.197916668,1376323200000
10,Aug-14-2013,0.0037881,0.00380363,0.00306695,0.00309197,0.0,27659114.40425532,1376409600000
11,Aug-15-2013,0.00308173,0.00316228,0.00287487,0.00313352,0.0,23678201.163194444,1376496000000
12,Aug-16-2013,0.00313811,0.0056835,0.00313811,0.00567101,0.0,36157120.625,1376582400000
13,Aug-17-2013,0.00568673,0.00626338,0.00558527,0.00561744,0.0,46270163.88850174,1376668800000
14,Aug-18-2013,0.00558696,0.00583867,0.00522339,0.00526041,0.0,43629249.565972224,1376755200000
15,Aug-19-2013,0.00537627,0.00615777,0.00530887,0.00609805,0.0,45768896.065972224,1376841600000
16,Aug-20-2013,0.0060983,0.0063488,0.00594996,0.00613065,0.0,47845628.895833336,1376928000000
17,Aug-21-2013,0.00613065,0.00613811,0.00514272,0.00514272,0.0,46176068.108013935,1377014400000
18,Aug-22-2013,0.0051788,0.00523248,0.00491905,0.00513859,0.0,39953866.85036496,1377100800000
19,Aug-23-2013,0.00513898,0.00560282,0.00512554,0.00554599,0.0,41699518.57986111,1377187200000
20,Aug-24-2013,0.00552554,0.00614767,0.00551862,0.00610389,0.0,45350871.55749129,1377273600000
21,Aug-25-2013,0.00610389,0.0065069,0.00606505,0.00641692,0.0,49300205.333333336,1377360000000
22,Aug-26-2013,0.0064684,0.00693594,0.00637345,0.00645204,0.0,51363489.83680555,1377446400000
23,Aug-27-2013,0.00645103,0.00646277,0.00606613,0.00624597,0.0,48934715.17314488,1377532800000
24,Aug-28-2013,0.00624582,0.00624582,0.00575648,0.0057626,0.0,46863194.682926826,1377619200000
25,Aug-29-2013,0.00576042,0.00626448,0.00561039,0.00593034,0.0,45509759.55017301,1377705600000
26,Aug-30-2013,0.00591257,0.00608093,0.00557602,0.00563178,0.0,46136236.14236111,1377792000000
27,Aug-31-2013,0.00562304,0.00587195,0.00557394,0.0057867,0.0,44359741.22569445,1377878400000
28,Sep-01-2013,0.00579883,0.0061152,0.0055067,0.00552786,0.0,44625476.91695502,1377964800000
29,Sep-02-2013,0.00551809,0.00569263,0.00540492,0.00566983,0.0,43336322.708333336,1378051200000
30,Sep-03-2013,0.00565988,0.00627632,0.00550749,0.00569499,0.0,45239290.86363637,1378137600000
31,Sep-04-2013,0.00569589,0.00599108,0.00547436,0.00571475,0.0,44994429.98606272,1378224000000
32,Sep-05-2013,0.00571747,0.00615076,0.0056274,0.00586556,0.0,45028364.39236111,1378310400000
33,Sep-06-2013,0.00585276,0.00627017,0.00583159,0.00617297,0.0,47445119.26297578,1378396800000
34,Sep-07-2013,0.00617198,0.00630358,0.00611976,0.00618304,0.0,48545282.85017422,1378483200000
35,Sep-08-2013,0.00619321,0.00655176,0.00607914,0.00627001,0.0,48679453.094076656,1378569600000
36,Sep-09-2013,0.0062779,0.00633183,0.00580736,0.00580782,0.0,48084549.8650519,1378656000000
37,Sep-10-2013,0.0058069,0.0063929,0.0056978,0.00627323,0.0,46521827.31141868,1378742400000
38,Sep-11-2013,0.00628715,0.00644154,0.00600761,0.00634863,0.0,48678984.45486111,1378828800000
39,Sep-12-2013,0.00633432,0.00671972,0.00631647,0.00651311,0.0,51487465.82986111,1378915200000
40,Sep-13-2013,0.00651456,0.00655043,0.00628796,0.00633984,0.0,49731319.72027972,1379001600000
41,Sep-14-2013,0.00634867,0.00651648,0.00634867,0.00647177,0.0,50240157.21254356,1379088000000
