Date,Open,High,Low,Close,Volume,Market Cap
Jul-24-2021,0.6095604054930844,0.6108902539877644,0.5921536426304141,0.605972382313237,2088543591.4703832,27758013454.105457
Jul-23-2021,0.6091728497146616,0.6201587151823312,0.6014125889797002,0.6095530894418019,2441611677.3333335,28044817421.319668
Jul-22-2021,0.5921020252507657,0.6090483919383913,0.5772596951669344,0.6090483919383913,2704249728,27366147224.49266
Jul-21-2021,0.5712219467785259,0.6020901221786502,0.5620351688761548,0.59199500152111,3331821771.5555553,26792948129.431034
Jul-20-2021,0.5291918404627177,0.5816563064639629,0.5210528736804424,0.5701573222393883,2719891019.818815,25507281825.311256
Jul-19-2021,0.558056262386339,0.565901473175781,0.5187424202017028,0.5287530253484964,3028817745.7777777,24513291037.498444
Jul-18-2021,0.5879226669728067,0.588595510596768,0.555636746477798,0.5606353180739703,2148546725.3333335,26337105275.244514
Jul-17-2021,0.582559827245226,0.6003689668955177,0.5778956241422144,0.5889802833549528,2008425212.878049,27140467280.549934
Jul-16-2021,0.5903479643681472,0.597107922066008,0.5740315336667754,0.5834438155133416,2540759728.888889,26935474408.14573
Jul-15-2021,0.5950110937969634,0.6145863662785276,0.5894427738213668,0.5910993882354987,2701215081.7777777,27700767405.51576
Jul-14-2021,0.6199976010149085,0.6258093957551686,0.5897337185835463,0.595122215630744,2453984587.818815,27980594174.600346
Jul-13-2021,0.619733841894891,0.6240129299113385,0.5904762259152893,0.6186319280702652,2799447605.3333335,28163766191.993565
Jul-12-2021,0.6302299479548025,0.6380057457512773,0.6117734166035977,0.6185873695182051,2456044422.2222223,28863515478.618004
Jul-11-2021,0.6359745147946202,0.6558027913890154,0.6199635430700148,0.631328882007641,2276285255.5555553,29398061180.277756
Jul-10-2021,0.6255409299380624,0.6421595770541142,0.6175664672582007,0.6360822305965544,1828921206.1881533,28978150467.748775
Jul-09-2021,0.6370688772683689,0.6467891717316588,0.6154195267533272,0.62518160271467,2470042864.4444447,28888111874.668377
Jul-08-2021,0.62289687079849,0.6426181727741528,0.5947385480973101,0.6379388216281958,2936852719.111111,28715281096.628693
Jul-07-2021,0.6521361336773671,0.6528445378384742,0.6130711390072789,0.6237880629855638,2956779024.888889,28955823699.716454
Jul-06-2021,0.6650088686179333,0.673214072973883,0.6522861269669681,0.6530045192713654,2480784480.888889,30757750054.401054
Jul-05-2021,0.654273685701124,0.6792283692522294,0.654273685701124,0.6629489586197433,2966725561.7777777,30677715368.0024
Jul-04-2021,0.6961659493418267,0.6962637965924195,0.6492034689607672,0.6579820482860038,3147759247.111111,30894293559.761475
Jul-03-2021,0.6734787869700345,0.7080576941827877,0.6667404541015447,0.6956457424227884,2696841977.7777777,31815964140.723137
Jul-02-2021,0.6563908190509443,0.6824750648221016,0.6448114460173661,0.6724673428681682,2785958308.699301,30749327232.824955
Jul-01-2021,0.6610708714826656,0.6656399172193728,0.635268223375487,0.6538275430805673,3366054688.888889,29827952755.01072
Jun-30-2021,0.7063187045663369,0.7063187045663369,0.6473766652812158,0.6630471477839661,4316791853.491289,30811371426.99139
Jun-29-2021,0.7020172073959214,0.7132108481249528,0.6527794084499859,0.7029868012863993,5428967286.634147,31395377671.33888
Jun-28-2021,0.6443581958253077,0.7256473681329807,0.6443581958253077,0.7016898076366285,4557607684.444445,31743713270.500053
Jun-27-2021,0.6471421937156189,0.6537430347171891,0.6261553597006069,0.6440844291865214,3683273822.647887,29596306751.859848
Jun-26-2021,0.6161442671172115,0.6511511183981772,0.5989821600640023,0.6489655020201871,3594248493.0704226,28418151668.9897
Jun-25-2021,0.615866148147901,0.630911031270584,0.5833905869533154,0.6100966721723351,5007718388.94964,27940325408.43794
Jun-24-2021,0.6719820295481885,0.6880053075600049,0.6044990472821532,0.6170126244294551,5115696593.454545,29627565578.590267
